Corra que a Polícia Vem Aí!,2025,7.0/10,Only one man has the particular set of skills - to lead Police Squad and save the world.
Premonição 6: Laços de Sangue,2025,6.8/10,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them... Read all"
Operação Vingança,2025,6.5/10,"When his supervisors at the CIA refuse to take action after his wife is killed in a London terrorist attack, a decoder takes matters into his own hands."
Quarteto Fantástico: Primeiros Passos,2025,7.4/10,"Forced to balance their roles as heroes with the strength of their family bond, the Fantastic Four must defend Earth from a ravenous space god called Galactus and his enigmatic Herald, Silve... Read all"
A Vida de Chuck,2024,7.5/10,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz."
F1: O Filme,2025,7.9/10,A Formula One driver comes out of retirement to mentor and team up with a younger driver.
Saiyaara,2025,6.7/10,"Vaani and Krish will have to navigate life, their problems, their insecurities to hopefully realise that only love can be the answer to everything."
Faça Ela Voltar,2025,7.2/10,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.
Superman,2025,7.5/10,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world... Read all"
Um Maluco no Golfe 2,2025,6.2/10,Revisit Happy Gilmore's golf career after his win in the Tour Championship.
A Hora do Mal,2025,7.9/10,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
Extermínio: A Evolução,2025,6.8/10,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mu... Read all"
Meu Ano em Oxford,2025,6.0/10,"When Anna, an ambitious young American woman, sets out for Oxford University to fulfill a childhood dream, she has her life completely on track until she meets a charming and clever local wh... Read all"
Juntos,2025,7.1/10,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country. With tensions already flaring, an encounter with an unnatural force threatens to co... Read all"
Guerra dos Mundos,2025,2.9/10,"A gargantuan invasion is coming with this fresh take on the legendary novel of the same name, that is filled with present-day themes of technology, surveillance, and privacy."
Pecadores,2025,7.6/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Um Maluco no Golfe,1996,7.0/10,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back."
Guerreiras do K-Pop,2025,7.7/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
Jurassic World: Recomeço,2025,6.1/10,"Five years post-Jurassic World: Domínio (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthr... Read all"
Corra que a Polícia Vem Aí!,1988,7.6/10,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.
Como Treinar o Seu Dragão,2025,7.9/10,"As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to ... Read all"
Amores Materialistas,2025,6.4/10,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex."
Os Caras Malvados 2,2025,7.2/10,"The Bad Guys are struggling to find trust and acceptance in their newly minted lives as Good Guys, when they are pulled out of retirement and forced to do ""one last job"" by an all-female squ... Read all"
